Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       Egz.
Vardas44            Pavarde44           6         8         4         2         10        5         10        2         2
Vardas45            Pavarde45           7         1         4         1         8         4         1         1         7
Vardas46            Pavarde46           4         4         7         4         3         6         5         2         10
Vardas47            Pavarde47           3         2         9         10        6         3         4         6         10
Vardas48            Pavarde48           1         8         3         7         7         4         2         4         3
Vardas49            Pavarde49           5         2         8         7         2         3         5         9         8
Vardas50            Pavarde50           6         3         1         6         1         2         4         9         7
Vardas51            Pavarde51           7         4         4         6         3         2         4         10        4
Vardas52            Pavarde52           5         4         10        2         6         6         7         5         5
Vardas53            Pavarde53           8         2         6         8         1         4         3         8         1
Vardas54            Pavarde54           9         3         10        8         2         8         1         6         10
Vardas55            Pavarde55           8         9         10        7         10        1         2         2         5
Vardas56            Pavarde56           10        1         2         5         5         6         2         5         2
Vardas57            Pavarde57           4         9         2         6         2         1         5         7         10
Vardas58            Pavarde58           1         2         9         1         1         10        2         6         10
Vardas59            Pavarde59           4         3         10        2         7         2         7         10        10
Vardas60            Pavarde60           3         10        9         3         6         5         10        7         2
Vardas61            Pavarde61           3         10        4         5         2         4         7         8         7
Vardas62            Pavarde62           8         5         7         10        6         1         4         5         1
Vardas63            Pavarde63           7         1         4         4         9         1         9         6         10
Vardas64            Pavarde64           9         9         3         6         2         8         3         8         10
Vardas65            Pavarde65           9         6         9         7         4         9         5         1         2
Vardas66            Pavarde66           7         3         10        10        4         5         4         10        8
Vardas67            Pavarde67           3         5         10        8         8         8         8         3         9
Vardas68            Pavarde68           9         5         2         4         3         4         5         8         7
Vardas69            Pavarde69           10        10        7         5         10        4         1         8         7
Vardas70            Pavarde70           3         6         4         1         1         4         7         6         2
Vardas71            Pavarde71           4         1         8         1         10        8         7         8         6
Vardas72            Pavarde72           7         8         1         9         3         5         5         9         6
Vardas73            Pavarde73           3         2         4         1         2         8         2         9         7
Vardas74            Pavarde74           7         7         3         8         8         4         4         8         9
Vardas75            Pavarde75           8         1         9         9         10        2         6         5         7
Vardas76            Pavarde76           8         1         1         4         3         4         2         3         5
Vardas77            Pavarde77           3         5         1         7         5         4         5         10        10
Vardas78            Pavarde78           4         1         2         2         9         6         4         1         3
Vardas79            Pavarde79           4         3         4         8         6         2         10        8         7
Vardas80            Pavarde80           10        10        8         7         6         3         8         3         9
Vardas81            Pavarde81           3         2         7         4         3         6         6         5         10
Vardas82            Pavarde82           9         9         8         2         8         9         2         7         9
Vardas83            Pavarde83           5         6         7         8         6         4         2         4         9
Vardas84            Pavarde84           8         9         6         4         9         10        5         10        9
Vardas85            Pavarde85           9         1         4         3         3         9         6         8         6
Vardas86            Pavarde86           4         7         9         4         7         4         4         10        9
Vardas87            Pavarde87           7         7         6         3         6         1         2         2         5
Vardas88            Pavarde88           7         1         10        7         10        7         9         7         4
Vardas89            Pavarde89           2         1         3         7         4         7         10        5         9
Vardas90            Pavarde90           1         8         8         6         3         4         6         1         7
Vardas91            Pavarde91           6         9         5         9         7         4         10        9         7
Vardas92            Pavarde92           5         2         7         6         4         1         6         1         2
Vardas93            Pavarde93           5         3         7         9         2         3         7         2         6
Vardas94            Pavarde94           10        8         7         6         8         10        6         10        10
Vardas95            Pavarde95           1         8         9         3         2         9         2         7         8
Vardas96            Pavarde96           4         1         8         5         2         4         9         2         1
Vardas97            Pavarde97           9         6         7         9         7         1         9         7         5
Vardas98            Pavarde98           3         6         10        1         7         1         6         7         10
Vardas99            Pavarde99           1         4         1         6         2         3         8         4         4
Vardas100           Pavarde100          6         9         8         1         5         2         4         6         3
Vardas101           Pavarde101          10        7         3         8         6         7         3         2         4
Vardas102           Pavarde102          3         10        7         10        3         6         6         3         5
Vardas103           Pavarde103          5         9         6         5         1         8         4         7         3
Vardas104           Pavarde104          5         8         2         10        8         8         2         1         3
Vardas105           Pavarde105          9         5         10        4         3         3         3         7         5
Vardas106           Pavarde106          4         6         3         3         1         4         1         9         6
Vardas107           Pavarde107          10        3         8         6         5         3         5         5         3
Vardas108           Pavarde108          9         3         9         4         9         7         10        8         5
Vardas109           Pavarde109          1         6         3         4         3         8         4         3         6
Vardas110           Pavarde110          9         8         4         6         4         5         7         9         1
Vardas111           Pavarde111          5         8         9         7         3         6         7         9         7
Vardas112           Pavarde112          4         9         1         8         5         6         9         2         3
Vardas113           Pavarde113          2         2         3         5         3         10        2         3         1
Vardas114           Pavarde114          9         5         10        2         5         6         5         10        1
Vardas115           Pavarde115          8         6         6         1         9         1         6         5         1
Vardas116           Pavarde116          1         6         5         10        1         2         5         7         7
Vardas117           Pavarde117          5         6         7         1         1         5         5         2         5
Vardas118           Pavarde118          7         9         2         6         3         10        6         8         6
Vardas119           Pavarde119          3         4         3         5         5         2         7         8         6
Vardas120           Pavarde120          5         8         1         2         1         6         8         9         1
Vardas121           Pavarde121          9         2         4         1         5         1         6         8         4
Vardas122           Pavarde122          1         7         6         6         9         5         8         9         5
Vardas123           Pavarde123          4         2         6         8         2         7         10        1         9
Vardas124           Pavarde124          5         5         2         9         5         9         10        3         7
Vardas125           Pavarde125          10        2         5         10        9         7         5         2         9
Vardas126           Pavarde126          3         1         5         7         1         6         6         5         1
Vardas127           Pavarde127          8         7         10        3         9         5         10        1         5
Vardas128           Pavarde128          9         6         4         1         2         9         6         5         3
Vardas129           Pavarde129          3         3         9         10        7         7         2         7         1
Vardas130           Pavarde130          3         4         3         4         6         7         9         1         7
Vardas131           Pavarde131          5         9         6         5         6         6         4         3         9
Vardas132           Pavarde132          6         9         9         5         7         3         6         5         2
Vardas133           Pavarde133          3         8         3         2         7         9         4         6         9
Vardas134           Pavarde134          8         6         2         6         2         9         10        4         7
Vardas135           Pavarde135          4         5         8         4         1         3         10        5         6
Vardas136           Pavarde136          3         1         5         9         10        8         5         7         1
Vardas137           Pavarde137          5         3         9         9         5         6         3         2         6
Vardas138           Pavarde138          8         9         7         7         10        10        5         9         6
Vardas139           Pavarde139          5         4         4         5         8         5         2         6         4
Vardas140           Pavarde140          10        10        3         3         2         1         5         2         4
Vardas141           Pavarde141          9         5         3         6         2         3         2         2         10
Vardas142           Pavarde142          7         6         2         3         6         9         3         2         4
Vardas143           Pavarde143          3         3         1         6         5         1         2         2         5
Vardas144           Pavarde144          8         4         2         6         9         3         3         6         8
Vardas145           Pavarde145          4         2         4         10        9         2         5         7         6
Vardas146           Pavarde146          10        3         5         3         10        7         1         1         1
Vardas147           Pavarde147          7         5         3         1         5         6         6         2         1
Vardas148           Pavarde148          10        3         7         3         5         10        3         5         5
Vardas149           Pavarde149          9         5         8         4         6         6         5         7         10
Vardas150           Pavarde150          10        1         10        8         4         5         9         6         9
Vardas151           Pavarde151          7         8         2         5         5         7         9         9         3
Vardas152           Pavarde152          7         3         10        8         10        4         3         7         1
Vardas153           Pavarde153          9         5         4         8         6         5         9         1         3
Vardas154           Pavarde154          8         9         2         3         10        7         10        5         5
Vardas155           Pavarde155          9         8         6         2         6         10        6         7         1
Vardas156           Pavarde156          4         10        9         9         2         10        6         3         1
Vardas157           Pavarde157          6         3         4         1         10        9         8         10        8
Vardas158           Pavarde158          4         3         7         3         8         9         1         7         10
Vardas159           Pavarde159          10        10        6         9         8         4         10        8         4
Vardas160           Pavarde160          8         5         10        4         8         8         2         2         5
Vardas161           Pavarde161          3         4         8         4         5         4         8         4         10
Vardas162           Pavarde162          10        2         9         5         8         3         7         3         7
Vardas163           Pavarde163          4         8         8         9         7         8         3         3         1
Vardas164           Pavarde164          4         4         5         8         10        9         5         4         4
Vardas165           Pavarde165          7         7         6         7         4         7         4         1         9
Vardas166           Pavarde166          4         3         6         5         8         10        1         6         1
Vardas167           Pavarde167          3         2         6         10        7         7         3         1         2
Vardas168           Pavarde168          7         4         5         2         3         9         10        5         9
Vardas169           Pavarde169          3         7         2         8         1         3         3         6         3
Vardas170           Pavarde170          6         9         8         10        4         10        10        2         3
Vardas171           Pavarde171          9         8         7         1         10        5         10        10        10
Vardas172           Pavarde172          10        3         4         6         6         1         8         8         5
Vardas173           Pavarde173          5         7         4         5         8         5         8         1         6
Vardas174           Pavarde174          3         5         10        9         5         3         7         8         9
Vardas175           Pavarde175          4         10        6         10        5         1         6         9         8
Vardas176           Pavarde176          8         5         6         2         1         10        10        3         3
Vardas177           Pavarde177          9         4         5         8         10        8         9         8         7
Vardas178           Pavarde178          10        9         9         1         5         4         9         6         9
Vardas179           Pavarde179          6         2         8         8         8         10        8         6         2
Vardas180           Pavarde180          9         9         1         5         10        6         3         9         9
Vardas181           Pavarde181          8         6         4         4         4         6         9         8         7
Vardas182           Pavarde182          2         4         1         4         4         5         5         9         9
Vardas183           Pavarde183          2         10        6         1         4         10        7         2         10
Vardas184           Pavarde184          1         10        5         4         4         7         9         3         7
Vardas185           Pavarde185          1         9         10        2         1         8         10        6         10
Vardas186           Pavarde186          9         1         9         3         4         5         6         7         6
Vardas187           Pavarde187          8         9         7         6         9         5         9         3         4
Vardas188           Pavarde188          6         4         9         5         5         7         10        4         6
Vardas189           Pavarde189          3         9         2         1         2         10        1         1         6
Vardas190           Pavarde190          5         7         10        9         4         2         8         3         3
Vardas191           Pavarde191          8         8         8         7         10        7         7         1         9
Vardas192           Pavarde192          8         4         6         3         3         8         7         2         9
Vardas193           Pavarde193          3         6         3         1         8         8         2         6         4
Vardas194           Pavarde194          9         10        8         3         10        4         2         2         9
Vardas195           Pavarde195          7         1         6         5         3         5         3         1         8
Vardas196           Pavarde196          3         10        4         4         5         3         9         6         4
Vardas197           Pavarde197          1         10        10        1         4         4         7         2         7
Vardas198           Pavarde198          9         2         10        4         8         8         2         2         6
Vardas199           Pavarde199          6         7         6         8         1         3         2         3         4
Vardas200           Pavarde200          8         4         3         8         3         4         1         9         5
Vardas201           Pavarde201          10        10        7         8         3         7         3         3         8
Vardas202           Pavarde202          4         5         4         8         7         10        7         4         1
Vardas203           Pavarde203          2         9         9         3         4         10        3         4         2
Vardas204           Pavarde204          4         1         8         1         3         2         2         8         1
Vardas205           Pavarde205          10        4         8         3         7         1         9         1         6
Vardas206           Pavarde206          8         4         4         4         6         2         9         5         2
Vardas207           Pavarde207          6         3         7         2         8         8         7         1         7
Vardas208           Pavarde208          4         10        5         9         8         9         9         9         2
Vardas209           Pavarde209          10        7         8         10        7         6         9         5         7
Vardas210           Pavarde210          6         5         7         9         4         9         3         5         2
Vardas211           Pavarde211          2         10        6         3         7         7         3         1         8
Vardas212           Pavarde212          8         6         8         4         9         2         4         3         6
Vardas213           Pavarde213          1         1         1         3         2         9         5         4         4
Vardas214           Pavarde214          1         4         2         3         4         4         7         9         6
Vardas215           Pavarde215          7         3         5         5         8         9         2         8         10
Vardas216           Pavarde216          1         1         8         8         4         7         4         3         10
Vardas217           Pavarde217          3         9         7         2         6         4         2         6         7
Vardas218           Pavarde218          10        7         10        5         1         6         6         7         6
Vardas219           Pavarde219          6         9         7         5         9         5         10        6         6
Vardas220           Pavarde220          7         6         3         7         10        10        2         7         10
Vardas221           Pavarde221          5         3         1         6         2         5         9         4         7
Vardas222           Pavarde222          2         3         9         8         5         1         7         2         2
Vardas223           Pavarde223          10        6         5         3         10        5         10        7         2
Vardas224           Pavarde224          8         3         5         5         4         9         3         1         10
Vardas225           Pavarde225          6         4         3         6         5         1         8         6         9
Vardas226           Pavarde226          1         9         2         7         9         8         1         6         6
Vardas227           Pavarde227          1         7         9         5         8         4         6         5         10
Vardas228           Pavarde228          8         2         1         10        5         10        3         6         2
Vardas229           Pavarde229          6         10        5         1         4         10        6         3         6
Vardas230           Pavarde230          3         7         1         7         8         5         1         3         2
Vardas231           Pavarde231          8         3         6         8         9         4         8         2         7
Vardas232           Pavarde232          8         9         5         4         10        10        9         4         4
Vardas233           Pavarde233          5         5         10        10        9         8         9         2         3
Vardas234           Pavarde234          5         5         8         10        6         2         8         6         5
Vardas235           Pavarde235          1         1         1         2         3         5         9         5         9
Vardas236           Pavarde236          5         9         4         9         9         6         4         4         5
Vardas237           Pavarde237          7         9         5         9         1         4         1         10        3
Vardas238           Pavarde238          3         9         7         6         8         1         8         7         1
Vardas239           Pavarde239          9         10        5         4         6         4         7         7         5
Vardas240           Pavarde240          7         5         7         5         4         7         10        7         6
Vardas241           Pavarde241          5         3         8         2         9         2         9         9         9
Vardas242           Pavarde242          1         3         10        2         10        2         3         9         5
Vardas243           Pavarde243          7         3         2         1         1         1         3         2         4
Vardas244           Pavarde244          8         2         1         4         9         8         4         1         9
Vardas245           Pavarde245          7         8         8         1         3         8         10        2         1
Vardas246           Pavarde246          3         7         3         2         10        5         7         3         10
Vardas247           Pavarde247          9         10        6         4         7         6         6         7         5
Vardas248           Pavarde248          5         7         10        3         1         7         8         7         8
Vardas249           Pavarde249          2         4         2         6         7         2         9         9         2
Vardas250           Pavarde250          7         7         5         5         10        3         9         4         5
Vardas251           Pavarde251          1         3         1         9         4         7         5         7         10
Vardas252           Pavarde252          7         4         10        10        5         10        10        9         7
Vardas253           Pavarde253          5         8         3         10        5         6         4         10        1
Vardas254           Pavarde254          8         3         4         3         5         9         3         10        3
Vardas255           Pavarde255          3         1         4         10        1         8         6         8         2
Vardas256           Pavarde256          5         1         2         6         7         1         8         3         10
Vardas257           Pavarde257          10        6         9         7         5         4         7         4         9
Vardas258           Pavarde258          5         9         1         5         4         1         3         5         4
Vardas259           Pavarde259          3         5         3         9         9         3         8         7         1
Vardas260           Pavarde260          10        5         9         10        4         2         8         4         1
Vardas261           Pavarde261          8         6         7         1         2         5         3         6         9
Vardas262           Pavarde262          6         9         7         6         1         5         8         3         10
Vardas263           Pavarde263          6         2         1         7         1         10        7         3         2
Vardas264           Pavarde264          7         10        3         7         3         5         8         1         3
Vardas265           Pavarde265          4         3         7         6         6         5         2         6         1
Vardas266           Pavarde266          1         8         9         5         4         4         10        8         6
Vardas267           Pavarde267          6         6         9         1         9         10        6         6         4
Vardas268           Pavarde268          10        10        4         6         1         8         7         7         3
Vardas269           Pavarde269          8         4         10        5         7         8         4         9         10
Vardas270           Pavarde270          2         7         1         6         7         4         5         5         9
Vardas271           Pavarde271          7         7         4         9         7         6         4         6         3
Vardas272           Pavarde272          4         2         3         4         3         8         7         8         7
Vardas273           Pavarde273          1         8         2         7         2         4         2         5         3
Vardas274           Pavarde274          1         2         3         7         7         3         3         1         6
Vardas275           Pavarde275          7         4         6         7         4         9         10        10        5
Vardas276           Pavarde276          6         4         8         3         7         6         3         4         7
Vardas277           Pavarde277          3         3         4         10        4         9         10        6         1
Vardas278           Pavarde278          3         3         7         3         10        1         9         10        1
Vardas279           Pavarde279          7         8         10        7         4         1         1         6         6
Vardas280           Pavarde280          4         8         3         6         6         7         5         5         4
Vardas281           Pavarde281          4         9         9         5         1         1         8         9         10
Vardas282           Pavarde282          10        1         2         3         6         7         7         3         1
Vardas283           Pavarde283          3         8         8         8         8         10        4         4         3
Vardas284           Pavarde284          3         1         6         5         9         2         1         6         7
Vardas285           Pavarde285          8         9         4         2         8         1         7         9         4
Vardas286           Pavarde286          8         1         10        3         1         10        9         5         7
Vardas287           Pavarde287          4         5         6         2         1         7         8         10        6
Vardas288           Pavarde288          3         1         4         3         7         10        7         6         9
Vardas289           Pavarde289          5         4         7         1         7         5         10        5         3
Vardas290           Pavarde290          7         1         6         6         9         7         1         9         9
Vardas291           Pavarde291          3         7         1         2         7         6         8         10        1
Vardas292           Pavarde292          10        1         1         8         8         9         5         8         5
Vardas293           Pavarde293          3         4         9         6         3         2         3         1         10
Vardas294           Pavarde294          8         10        7         6         1         4         3         1         8
Vardas295           Pavarde295          3         2         1         2         4         6         6         4         10
Vardas296           Pavarde296          4         10        6         5         9         6         3         9         2
Vardas297           Pavarde297          7         2         8         6         4         2         1         10        1
Vardas298           Pavarde298          10        9         9         8         10        7         2         2         4
Vardas299           Pavarde299          6         6         3         6         1         3         3         7         1
Vardas300           Pavarde300          8         5         2         4         8         9         7         4         6
Vardas301           Pavarde301          5         10        7         4         4         3         4         10        4
Vardas302           Pavarde302          3         2         5         10        9         4         1         5         6
Vardas303           Pavarde303          9         1         4         3         8         6         10        3         4
Vardas304           Pavarde304          2         2         10        2         10        3         2         2         6
Vardas305           Pavarde305          4         1         9         9         6         4         9         4         10
Vardas306           Pavarde306          3         1         3         3         3         6         6         3         8
Vardas307           Pavarde307          4         4         9         9         2         3         2         8         8
Vardas308           Pavarde308          6         3         10        3         1         9         10        3         2
Vardas309           Pavarde309          9         5         7         2         7         10        2         9         6
Vardas310           Pavarde310          6         9         4         10        1         6         5         6         3
Vardas311           Pavarde311          2         6         7         10        3         9         8         1         9
Vardas312           Pavarde312          3         8         4         2         6         3         5         9         9
Vardas313           Pavarde313          6         4         4         10        1         3         1         7         7
Vardas314           Pavarde314          8         2         5         7         3         2         7         6         6
Vardas315           Pavarde315          5         8         4         1         8         1         6         4         8
Vardas316           Pavarde316          9         4         5         2         4         8         8         5         9
Vardas317           Pavarde317          7         7         7         3         7         9         1         9         1
Vardas318           Pavarde318          5         1         3         8         8         9         7         4         6
Vardas319           Pavarde319          7         6         1         10        2         5         5         5         8
Vardas320           Pavarde320          6         9         4         9         10        6         9         3         1
Vardas321           Pavarde321          7         4         1         3         2         10        4         3         2
Vardas322           Pavarde322          10        7         5         7         2         5         7         2         2
Vardas323           Pavarde323          4         2         1         8         7         7         7         1         1
Vardas324           Pavarde324          9         4         10        1         9         3         8         5         9
Vardas325           Pavarde325          8         5         8         8         9         9         5         10        3
Vardas326           Pavarde326          8         4         7         9         2         8         4         10        1
Vardas327           Pavarde327          9         4         9         5         3         2         10        2         3
Vardas328           Pavarde328          2         7         7         1         7         8         4         6         5
Vardas329           Pavarde329          10        7         1         9         6         1         1         9         6
Vardas330           Pavarde330          6         10        9         1         7         4         6         2         8
Vardas331           Pavarde331          6         5         9         4         3         7         7         2         3
Vardas332           Pavarde332          2         9         1         8         3         3         1         9         9
Vardas333           Pavarde333          10        3         4         6         4         6         4         2         7
Vardas334           Pavarde334          4         6         5         2         7         5         7         8         4
Vardas335           Pavarde335          1         7         3         2         8         3         1         10        1
Vardas336           Pavarde336          1         5         4         3         1         4         4         7         2
Vardas337           Pavarde337          5         4         4         4         5         10        9         7         3
Vardas338           Pavarde338          5         9         2         3         4         7         3         5         3
Vardas339           Pavarde339          6         3         1         6         10        8         5         7         5
Vardas340           Pavarde340          8         7         6         3         10        5         9         7         7
Vardas341           Pavarde341          7         3         1         1         2         6         2         5         1
Vardas342           Pavarde342          7         10        2         2         7         10        5         4         6
Vardas343           Pavarde343          9         8         10        8         5         4         8         8         5
Vardas344           Pavarde344          4         7         5         6         9         5         3         2         4
Vardas345           Pavarde345          2         8         8         1         1         9         5         7         4
Vardas346           Pavarde346          6         2         7         5         5         4         6         7         6
Vardas347           Pavarde347          4         7         5         9         10        5         5         3         9
Vardas348           Pavarde348          10        5         1         1         7         7         5         2         8
Vardas349           Pavarde349          9         10        5         1         5         3         6         6         10
Vardas350           Pavarde350          6         10        9         10        10        4         5         6         2
Vardas351           Pavarde351          6         6         3         2         10        9         2         2         5
Vardas352           Pavarde352          4         2         9         9         5         2         1         10        10
Vardas353           Pavarde353          9         9         7         2         1         7         9         10        1
Vardas354           Pavarde354          6         2         9         7         5         2         5         6         7
Vardas355           Pavarde355          8         5         8         2         5         2         5         10        8
Vardas356           Pavarde356          1         6         6         1         5         2         6         1         9
Vardas357           Pavarde357          4         9         8         10        5         7         7         3         4
Vardas358           Pavarde358          2         8         3         5         3         6         1         7         8
Vardas359           Pavarde359          2         3         9         10        8         4         5         10        8
Vardas360           Pavarde360          6         4         9         9         7         3         1         1         1
Vardas361           Pavarde361          3         1         1         4         5         8         1         5         3
Vardas362           Pavarde362          10        6         10        2         7         2         5         3         3
Vardas363           Pavarde363          5         2         6         10        3         4         1         2         6
Vardas364           Pavarde364          1         5         6         8         10        6         5         4         4
Vardas365           Pavarde365          2         9         1         5         4         8         5         6         5
Vardas366           Pavarde366          6         2         7         6         6         4         10        10        5
Vardas367           Pavarde367          9         4         2         2         9         2         7         5         1
Vardas368           Pavarde368          3         5         6         2         10        3         7         6         6
